date,actual,predicted
2020-11-15 00:00:00,12.0,5.0
2020-11-10 00:00:00,5.0,4.25
2020-11-07 00:00:00,5.0,5.2
2020-11-05 00:00:00,5.0,5.25
2020-11-04 00:00:00,5.0,5.25
2020-11-03 00:00:00,2.0,6.333333333333333
2020-11-01 00:00:00,5.0,5.666666666666667
2020-10-31 00:00:00,9.0,4.333333333333333
2020-10-28 00:00:00,5.0,4.0
2020-10-25 00:00:00,3.0,3.5
2020-10-24 00:00:00,5.0,3.0
2020-10-23 00:00:00,1.0,4.0
2020-10-21 00:00:00,7.0,1.0
2020-10-18 00:00:00,1.0,0
2020-10-10 00:00:00,5.0,5.0
2020-10-07 00:00:00,5.0,4.5
2020-10-05 00:00:00,5.0,4.75
2020-10-02 00:00:00,3.0,5.333333333333333
2020-10-01 00:00:00,5.0,5.5
2020-09-30 00:00:00,5.0,6.0
2020-09-28 00:00:00,6.0,0
2020-09-10 00:00:00,5.0,5.333333333333333
2020-09-07 00:00:00,5.0,5.25
2020-09-05 00:00:00,5.0,5.333333333333333
2020-09-04 00:00:00,6.0,5.0
2020-09-01 00:00:00,5.0,5.0
2020-08-31 00:00:00,5.0,0
2020-08-10 00:00:00,5.0,5.0
2020-08-07 00:00:00,5.0,5.0
2020-08-05 00:00:00,5.0,5.0
2020-08-02 00:00:00,5.0,0
2020-07-10 00:00:00,5.0,5.0
2020-07-07 00:00:00,5.0,5.0
2020-07-06 00:00:00,5.0,5.0
2020-07-01 00:00:00,5.0,0
2020-06-10 00:00:00,5.0,5.0
2020-06-08 00:00:00,5.0,5.0
2020-06-05 00:00:00,5.0,5.0
2020-06-01 00:00:00,5.0,5.0
2020-05-31 00:00:00,5.0,0
2020-05-17 00:00:00,3.0,4.666666666666667
2020-05-16 00:00:00,1.0,4.666666666666667
2020-05-11 00:00:00,5.0,4.75
2020-05-10 00:00:00,8.0,3.0
2020-05-09 00:00:00,1.0,4.0
2020-05-07 00:00:00,5.0,3.0
2020-05-05 00:00:00,5.0,2.3333333333333335
2020-05-03 00:00:00,1.0,3.0
2020-05-02 00:00:00,5.0,1.0
2020-05-01 00:00:00,1.0,3.0
2020-04-24 00:00:00,3.0,9.0
2020-04-18 00:00:00,9.0,6.0
2020-04-14 00:00:00,7.0,5.0
2020-04-13 00:00:00,5.0,5.0
2020-04-07 00:00:00,5.0,5.75
2020-04-06 00:00:00,5.0,6.0
2020-04-05 00:00:00,5.0,6.5
2020-04-04 00:00:00,6.0,7.0
2020-04-02 00:00:00,7.0,0
2020-03-25 00:00:00,1.0,2.3333333333333335
2020-03-23 00:00:00,1.0,3.6666666666666665
2020-03-20 00:00:00,5.0,2.6666666666666665
2020-03-18 00:00:00,1.0,6.5
2020-03-16 00:00:00,5.0,6.5
2020-03-14 00:00:00,2.0,7.25
2020-03-12 00:00:00,14.0,5.0
2020-03-11 00:00:00,5.0,5.0
2020-03-10 00:00:00,5.0,5.333333333333333
2020-03-07 00:00:00,5.0,4.25
2020-03-05 00:00:00,5.0,3.25
2020-03-03 00:00:00,6.0,2.5
2020-03-02 00:00:00,5.0,3.25
2020-03-01 00:00:00,1.0,3.25
2020-02-28 00:00:00,1.0,4.0
2020-02-26 00:00:00,3.0,4.0
2020-02-24 00:00:00,8.0,2.0
2020-02-23 00:00:00,1.0,3.0
2020-02-19 00:00:00,3.0,7.0
2020-02-15 00:00:00,7.0,5.5
2020-02-10 00:00:00,3.0,5.0
2020-02-08 00:00:00,8.0,4.0
2020-02-05 00:00:00,2.0,4.0
2020-02-03 00:00:00,5.0,3.6666666666666665
2020-02-02 00:00:00,5.0,3.0
2020-01-31 00:00:00,1.0,4.0
2020-01-30 00:00:00,5.0,3.0
2020-01-25 00:00:00,3.0,3.3333333333333335
2020-01-22 00:00:00,1.0,4.666666666666667
2020-01-21 00:00:00,6.0,4.666666666666667
2020-01-18 00:00:00,3.0,6.0
2020-01-15 00:00:00,5.0,3.2
2020-01-14 00:00:00,6.0,2.5
2020-01-13 00:00:00,7.0,1.0
2020-01-10 00:00:00,1.0,1.0
2020-01-09 00:00:00,1.0,2.3333333333333335
2020-01-08 00:00:00,1.0,2.6666666666666665
2020-01-04 00:00:00,1.0,3.5
2020-01-02 00:00:00,5.0,2.0
2020-01-01 00:00:00,2.0,0
